AQI,TVOC,eCO2,Temperature,Pressure,Altitude,Label
1,27,409,22.5109375,981.8082204224285,265.23771764300557,ambient
1,20,400,22.51328125,981.8065158350836,265.3743280940511,ambient
1,20,400,22.518359375,981.7884475007936,265.22618152814545,ambient
1,20,400,22.5158203125,981.8102246423671,265.23771764300557,ambient
1,25,404,22.518359375,981.7863601389643,265.12439364625567,ambient
1,25,404,22.5083984375,981.8283072088825,265.11540628149163,ambient
1,25,404,22.51328125,981.8014159535456,265.1533824626233,ambient
1,25,403,22.51328125,981.8146703937541,265.36292323939085,ambient
1,25,403,22.5158203125,981.7884333921252,265.37761623900485,ambient
1,25,403,22.51328125,981.8214888005167,265.31924336433815,ambient
1,25,403,22.505859375,981.7877653809011,265.18250202999025,ambient
1,29,412,22.51328125,981.7901379852655,265.10983375982113,ambient
1,29,412,22.5208984375,981.7959197834214,264.9205570210065,ambient
1,29,412,22.5109375,981.7969563588284,265.0718568093863,ambient
1,24,401,22.5208984375,981.8014020736498,265.12439364625567,ambient
1,24,401,22.5208984375,981.7901379852655,265.1478113719528,ambient
1,24,401,22.51328125,981.808888516421,265.08641658608843,ambient
1,21,400,22.5158203125,981.7918425785059,265.159215763789,ambient
1,21,400,22.518359375,981.8017016031835,265.022474853099,ambient
1,21,400,22.5208984375,981.7812463193612,265.3484959206579,ambient
1,22,400,22.52578125,981.7816150205654,265.1357986012924,ambient
1,22,400,22.5158203125,981.8037747339946,265.1535134779628,ambient
1,22,400,22.5158203125,981.7696972033665,265.0661542181982,ambient
1,22,400,22.5208984375,981.8068154263932,265.1649182294266,ambient
1,24,401,22.5158203125,981.7683469828073,265.44471611022533,ambient
1,24,401,22.518359375,981.7713874662312,265.19732680799643,ambient
1,24,401,22.5208984375,981.7765012429476,265.12439364625567,ambient
1,29,413,22.5208984375,981.8003655462112,265.3282341158206,ambient
1,29,413,22.5208984375,981.7536736770786,265.2028955057759,ambient
1,29,413,22.5208984375,981.7962883131177,265.24644396487435,ambient
1,22,400,22.5083984375,981.7894839873613,265.2668375457316,ambient
1,22,400,22.5083984375,981.7979928998616,265.31924336433815,ambient
1,22,400,22.5234375,981.7901379852655,265.2028955057759,ambient
1,22,400,22.5208984375,981.7724241092222,265.4009012860326,ambient
1,22,400,22.5158203125,981.7604920146374,265.34266105291147,ambient
1,22,400,22.5208984375,981.7822829835204,265.3484959206579,ambient
1,22,400,22.5208984375,981.7771691852104,265.18263338813034,ambient
1,22,400,22.5234375,981.7839875831575,265.31937568076654,ambient
1,22,400,22.5158203125,981.80340621082,265.1389535523029,ambient
1,22,400,22.52578125,981.8385348244359,265.1300960338708,ambient
1,24,402,22.518359375,981.7996974867056,265.1503584055507,ambient
1,24,402,22.5158203125,981.7965877808756,265.23771764300557,ambient
1,24,402,22.518359375,981.7918425785059,265.34266105291147,ambient
1,20,400,22.5158203125,981.8007339865674,265.18833557216766,ambient
1,20,400,22.518359375,981.805847727309,265.2901235457127,ambient
1,20,400,22.5109375,981.7577652022239,265.1389535523029,ambient
1,27,409,22.5158203125,981.7747966506088,265.25227758456225,ambient
1,27,409,22.5208984375,981.7731063474516,265.25543350679516,ambient
1,27,409,22.51328125,981.789469967144,265.23771764300557,ambient
1,27,409,22.5158203125,981.7973248265738,265.29595752691813,ambient
1,30,415,22.5109375,981.7901379852655,265.36875782313035,ambient
1,30,415,22.518359375,981.7860607947582,265.34266105291147,ambient
1,30,415,22.51328125,981.7308609201635,265.5029575781904,ambient
1,25,403,22.5158203125,981.7628645070413,265.32253262054905,ambient
1,25,403,22.51328125,981.7914739594692,265.32253262054905,ambient
1,25,403,22.518359375,981.7679926314742,265.36305607002504,ambient
1,25,402,22.5234375,981.7822829835204,265.2320154318403,ambient
1,25,402,22.51328125,981.7819836115617,265.3717811302418,ambient
1,25,402,22.5208984375,981.7850242061448,265.1186914384519,ambient
1,21,400,22.518359375,981.7952517652875,265.1535134779628,ambient
1,21,400,22.518359375,981.7952517652875,265.27569546803664,ambient
1,21,400,22.518359375,981.7939156669809,265.24074140009566,ambient
1,21,400,22.5158203125,981.7802790326168,265.1914914193065,ambient
1,27,408,22.5208984375,981.7816150205654,265.1478113719528,ambient
1,27,408,22.52578125,981.7795417130271,265.2294700223618,ambient
1,27,408,22.5208984375,981.7884333921252,265.32507758656016,ambient
1,23,400,22.5158203125,981.7897693525339,265.3136739547843,ambient
1,23,400,22.5158203125,981.7843562087156,265.31937568076654,ambient
1,23,400,22.5158203125,981.7918425785059,265.18250202999025,ambient
1,24,400,22.518359375,981.8065158350836,265.2263134004864,ambient
1,24,400,22.5109375,981.7768698750275,265.3396376458026,ambient
1,24,400,22.518359375,981.7877653809011,265.27556366581894,ambient
1,24,400,22.5158203125,981.7792424511888,265.045891947948,ambient
1,24,400,22.5234375,981.8150387728099,264.9844985610734,ambient
1,24,400,22.52578125,981.813988268682,265.1478113719528,ambient
1,24,400,22.51328125,981.7792424511888,265.1446558890236,ambient
1,17,400,22.5208984375,981.7922110873347,265.12439364625567,ambient
1,17,400,22.52578125,981.812297705206,265.0805838874322,ambient
1,17,400,22.5234375,981.809556589734,265.0895715834114,ambient
1,29,413,22.5208984375,981.7805783839835,265.1041315011229,ambient
1,29,413,22.518359375,981.7976243838599,265.2206115489487,ambient
1,29,413,22.518359375,981.7976243838599,265.20859781873014,ambient
1,21,400,22.518359375,981.7581195154489,265.2497317570464,ambient
1,21,400,22.5234375,981.7873823625202,265.4244546532775,ambient
1,21,400,22.5208984375,981.7853927697521,265.27315057546593,ambient
1,28,411,22.5208984375,981.813988268682,265.1041315011229,ambient
1,28,411,22.5234375,981.804428566864,265.523219007651,ambient
1,28,411,22.5208984375,981.7850242061448,265.2934122163051,ambient
1,28,411,22.5208984375,981.7792424511888,265.37761623900485,ambient
1,24,401,22.518359375,981.8044427866154,265.24100739340605,ambient
1,24,401,22.518359375,981.8156928833711,265.3136739547843,ambient
1,24,401,22.5208984375,981.7908059827073,265.24087344383196,ambient
1,27,408,22.5208984375,981.7754645859741,265.39547039382677,ambient
1,27,408,22.52578125,981.7822829835204,265.45041737814273,ambient
1,27,408,22.5234375,981.7931785665044,265.21188698351705,ambient
1,30,415,22.52578125,981.7952375137145,265.0661542181982,ambient
1,30,415,22.5208984375,981.7693140771268,265.43029197013465,ambient
1,30,415,22.530859375,981.7921273986109,265.4157315003849,ambient
1,30,413,22.5283203125,981.7942008430556,265.2294700223618,ambient
1,30,413,22.5234375,981.7754500254407,265.50309461311247,ambient
1,30,413,22.5234375,981.7594553240663,265.2644267672499,ambient
1,30,413,22.5333984375,981.7607762406077,265.50625488189746,ambient
1,23,400,22.5283203125,981.7730920583698,265.27315057546593,ambient
1,23,400,22.5208984375,981.7907916025877,265.2611354363602,ambient
1,23,400,22.5158203125,981.7816150205654,265.25556762776955,ambient
